FID,id,parkomat_id,type,vejkode,p_zone,beboer_zone,vejnavn,husnr,placering,ejerlavkode,opret_dato,ret_dato,wkb_geometry
parkomat.1379,1223,8200,Betalingsautomat,0920,Blå,AN,Brysselgade,,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.605660134550684 55.6625938258049)
parkomat.1380,1224,8201,Betalingsautomat,0440,Blå,AN,Belgiensgade,6,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.604657821295683 55.661561427938196)
parkomat.1381,1225,8202,P-info,5284,Blå,AN,Oliebladsgade,7,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.605318659087953 55.66133907760503)
parkomat.1382,1226,8203,Betalingsautomat,1896,Blå,AN,Frankrigsgade,OF/4,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.605692087733754 55.66075995741266)
parkomat.1383,1227,8204,P-info,1896,Blå,AN,Frankrigsgade,7,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.606872506761894 55.66129696138749)
parkomat.1384,1228,8205,P-info,1896,Blå,AN,Frankrigsgade,21,Husmur,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.608152351125002 55.66199130628576)
parkomat.1385,1229,8206,Betalingsautomat,4456,Blå,AN,Lybækgade,31,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.610323268048184 55.66306094511253)
parkomat.1386,1230,8208,Betalingsautomat,8664,Blå,AN,Ålandsgade,49,Ny fortovsø,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.607205905169208 55.66215177217926)
parkomat.1387,1231,8209,P-info,1900,Blå,AN,Frankrigshusene,11,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.607249347946288 55.66255603034074)
parkomat.1388,1232,8210,Betalingsautomat,1900,Blå,AN,Frankrigshusene,1,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.608655287172452 55.66235084600387)
parkomat.1389,1233,8211,Betalingsautomat,8404,Blå,AN,Wittenberggade,45,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.610277234983833 55.66204102557327)
parkomat.1390,1234,8212,P-info,8404,Blå,AN,Wittenberggade,,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.61027957054757 55.6622517938961)
parkomat.1391,1235,8213,P-info,8404,Blå,AN,Wittenberggade,41,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.611799825239766 55.66176412828434)
parkomat.1392,1236,8214,Betalingsautomat,8404,Blå,AN,Wittenberggade,20,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.611869807586611 55.661965940876655)
parkomat.1393,1237,8218,P-info,1896,Blå,AN,Frankrigsgade,,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.610413493294178 55.662541522474584)
parkomat.1394,1238,8222,P-info,4456,Blå,AN,Lybækgade,-,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.60954563327309 55.66360300593079)
parkomat.1395,1239,8223,P-info,4456,Blå,AN,Lybækgade,15,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.609016628146225 55.66448240852963)
parkomat.1396,1240,8224,Betalingsautomat,4456,Blå,AN,Lybækgade,1,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.608517445853618 55.66530901743965)
parkomat.1397,1241,8225,Betalingsautomat,8448,Blå,AN,Woltersgade,5,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.607688909945024 55.66491889709738)
parkomat.1398,1242,8226,P-info,1032,Blå,AN,Bøhmensgade,12,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.607930752782922 55.66422097222342)
parkomat.1399,1243,8227,Betalingsautomat,5556,Blå,AN,Pommernsgade,12C,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.606921877063206 55.6641508522941)
parkomat.1400,1244,8228,,5556,Blå,AN,Pommernsgade,6,Husmur,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.60663315737329 55.664618716725265)
parkomat.1401,1245,8229,P-info,2152,Blå,AN,Geislersgade,15,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.60622542726429 55.66402995260326)
parkomat.1402,1246,8230,Betalingsautomat,2152,Blå,AN,Geislersgade,3,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.605685203606848 55.66466228498785)
parkomat.1403,1247,8231,Betalingsautomat,8664,Blå,AN,Ålandsgade,8,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.604624147516901 55.6641903566011)
parkomat.1404,1248,8232,P-info,2580,Blå,AN,Hannovergade,1,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.603739779073132 55.664339634873386)
parkomat.1405,1249,8233,P-info,5024,Blå,AN,Nordlandsgade,9A,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.602984859092905 55.6640042446331)
parkomat.1406,1250,8234,Betalingsautomat,6560,Blå,AN,Skånegade,11,Husmur,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.60233140352824 55.66375885244975)
parkomat.1407,1252,8236,P-info,7608,Blå,AN,Tovværkgade,5A,Husmur,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.602541007535898 55.66298462118677)
parkomat.1408,1253,8237,P-info,2984,Blå,AN,Holmbladsgade,9,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.602614317089882 55.66438328495843)
parkomat.1409,1254,8238,Betalingsautomat,2984,Blå,AN,Holmbladsgade,13,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.603391748476518 55.6645431419831)
parkomat.1410,1255,8241,P-info,2532,Blå,AN,Halgreensgade,3,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.606114212017943 55.66534228760507)
parkomat.1411,1256,8242,Betalingsautomat,1156,Blå,AN,Christian Svendsens Gade,5,,2000172,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.605437420437225 55.665345286993045)
parkomat.1412,1257,8243,Betalingsautomat,5902,Blå,AN,Romsdalsgade,5,,2000171,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.601996471466782 55.6596909863322)
parkomat.1413,1131,8244,Betalingsautomat,5952,Blå,AN,Rosenvængets Hovedvej,9,,2000151,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.600172981254874 55.667444560700616)
parkomat.1414,1132,8245,Betalingsautomat,6952,Blå,AN,Store Mølle Vej,20,,2000151,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.600813648240534 55.66728967736547)
parkomat.1415,1130,8247,,5952,Blå,AN,Rosenvængets Hovedvej,38,,2000151,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.602371353713508 55.667815091918776)
parkomat.1416,1364,8248,Betalingsautomat,1468,Blå,AN,Egilsgade,29A,Inventarzone,2000151,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.57994776262635 55.66549402931761)
parkomat.1417,1365,8249,,1468,Blå,AN,Egilsgade,42,,2000151,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.580548973457923 55.66505943959694)
parkomat.1418,1539,8250,P-info,5000,Blå,AN,Njalsgade,80,Øvrige,2000155,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.586937353444839 55.66369247273522)
parkomat.1419,1540,8251,Betalingsautomat,5000,Blå,AN,Njalsgade,,Øvrige,2000155,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.58850281149826 55.663735984353885)
parkomat.1420,1542,8253,,5000,Blå,AN,Njalsgade,,Øvrige,2000155,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.589978999667567 55.66356887178389)
parkomat.1421,1543,8254,Betalingsautomat,5000,Blå,AN,Njalsgade,90,Øvrige,2000155,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.590123011081982 55.66333110287939)
parkomat.1422,1544,8255,,5000,Blå,AN,Njalsgade,,Øvrige,2000155,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.591841333721044 55.6633583969668)
parkomat.1423,1545,8256,P-info,5000,Blå,AN,Njalsgade,134,Øvrige,2000155,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.592027724930457 55.66311434029551)
parkomat.1424,1532,9000,P-info,0004,Grøn,VB,Abel Cathrines Gade,20,Husmur,2000151,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.56066439794107 55.67101545783772)
parkomat.1425,1502,9002,Betalingsautomat,0872,Rød,IB,Brolæggerstræde,13,Husmur,2000168,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.574197509321765 55.67736961225432)
parkomat.1426,1503,9004,Betalingsautomat,2096,Grøn,VB,Gammel Kongevej,3,Husmur,2000174,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.559737106722139 55.67441268292923)
parkomat.1427,1505,9006,Betalingsautomat,2272,Rød,IB,Gothersgade,9,Husmur,2000162,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.584423694826908 55.6816051523005)
parkomat.1428,1507,9008,P-info,2348,Rød,IB,Grønnegade,43,Husmur,2000162,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.583434105554115 55.68170390276117)
parkomat.1429,1510,9012,Betalingsautomat,5212,Grøn,IB,Nørre Søgade,9A,Husmur,2000164,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.564310616846265 55.684994729263586)
parkomat.1430,1511,9013,P-info,5212,Grøn,IB,Nørre Søgade,25A,Husmur,2000164,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.563490838704322 55.684119369832025)
parkomat.1431,1512,9014,Betalingsautomat,5212,Grøn,IB,Nørre Søgade,43,Husmur,2000164,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.561450443177401 55.681946544765935)
parkomat.1432,1515,9018,Betalingsautomat,5816,Grøn,VB,Reventlowsgade,OF/8,Husmur,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.563307463703742 55.67302086064873)
parkomat.1433,1516,9021,Betalingsautomat,5520,Rød,IB,Pilestræde,16,Husmur,2000162,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.580865622081499 55.68020051837171)
parkomat.1434,1517,9022,Betalingsautomat,6460,Rød,IB,Skindergade,43,Husmur,2000168,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.573191707909979 55.678717026445064)
parkomat.1435,1523,9025,Betalingsautomat,8216,Rød,IB,Vestergade,31,Husmur,2000178,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.569283319470419 55.67707671784163)
parkomat.1436,1522,9030,Betalingsautomat,8216,Rød,IB,Vestergade,7,Husmur,2000178,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.570899267008267 55.67790711615445)
parkomat.1437,129,9031,Betalingsautomat,6992,Grøn,CH,Strandgade,10,Eksisterende fortovsø,2000153,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.588404532605633 55.67324906740737)
parkomat.1438,1525,9032,Betalingsautomat,8608,Grøn,IB,Øster Søgade,46,Husmur,2000182,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.572846690780379 55.69140809127251)
parkomat.1439,1526,9033,Betalingsautomat,8608,Grøn,IB,Øster Søgade,64,Eksisterende fortovsø,2000182,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.574644546826395 55.692517897651115)
