FID,id,parkomat_id,type,vejkode,p_zone,beboer_zone,vejnavn,husnr,placering,ejerlavkode,opret_dato,ret_dato,wkb_geometry
parkomat.1,467,152,P-info,1396,Rød,IB,Dyrkøb,5,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.572665592562222 55.67900255632159)
parkomat.2,466,153,Betalingsautomat,1396,Rød,IB,Dyrkøb,OF/3,,2000160,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.572937473827633 55.67921596332571)
parkomat.3,470,156,Betalingsautomat,0148,Rød,IB,H.C. Andersens Boulevard,9,Eksisterende fortovsø,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.566107871340106 55.67782743364014)
parkomat.4,471,157,Betalingsautomat,3348,Rød,IB,Jarmers Plads,7,Eksisterende fortovsø,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.56557653640952 55.678517044686515)
parkomat.5,472,158,P-info,5220,Rød,IB,Nørre Voldgade,OF/6,,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.566308187377208 55.67917067888057)
parkomat.6,473,159,P-info,1276,Rød,IB,Dantes Plads,4,,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.57341988048724 55.67366680944171)
parkomat.7,462,160,Betalingsautomat,1276,Rød,IB,Dantes Plads,OF/5,,2000179,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.57324398929724 55.67338587282356)
parkomat.8,618,1002,Betalingsautomat,5960,Blå,IN,Rosenørns Allé,12,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555178540169926 55.681753235913526)
parkomat.9,619,1003,P-info,5960,Blå,IN,Rosenørns Allé,9,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555202382958294 55.68159305567384)
parkomat.10,620,1004,P-info,3448,Blå,IN,Julius Thomsens Gade,12,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.554328503728506 55.68212558877428)
parkomat.11,621,1005,Betalingsautomat,3448,Blå,IN,Julius Thomsens Gade,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.554374550617656 55.68257021180431)
parkomat.12,622,1006,P-info,2852,Blå,IN,Herman Triers Plads,3,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.55558160320977 55.682205626059655)
parkomat.13,623,1007,Betalingsautomat,3732,Blå,IN,Kleinsgade,6,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.556026066209979 55.6820636887889)
parkomat.14,624,1008,P-info,2852,Blå,IN,Herman Triers Plads,2,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555815709540363 55.68254933624246)
parkomat.15,625,1009,P-info,3448,Blå,IN,Julius Thomsens Gade,18,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.55501498960096 55.683121637298385)
parkomat.16,626,1010,P-info,3448,Blå,IN,Julius Thomsens Gade,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.554945658988423 55.68340418293578)
parkomat.17,627,1011,Betalingsautomat,8636,Blå,IN,Åboulevard,11B,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.55588853147193 55.6831208604956)
parkomat.18,628,1012,P-info,8636,Blå,IN,Åboulevard,6,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.556823980924833 55.68295806824195)
parkomat.19,629,1013,Betalingsautomat,8636,Blå,IN,Åboulevard,38,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.554256380154458 55.68485777703243)
parkomat.20,630,1014,Betalingsautomat,2304,Blå,IN,Griffenfeldsgade,35,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.552815105786639 55.68615457521039)
parkomat.21,631,1015,P-info,3920,Blå,IN,Korsgade,37,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555162638684573 55.68618867199518)
parkomat.22,632,1016,Betalingsautomat,3920,Blå,IN,Korsgade,25,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.556251386948071 55.685769934903654)
parkomat.23,633,1017,Betalingsautomat,3920,Blå,IN,Korsgade,15,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.557737914777658 55.68517955105527)
parkomat.24,634,1018,P-info,3920,Blå,IN,Korsgade,7,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.55862732136273 55.684838787226155)
parkomat.25,635,1019,P-info,0628,Blå,IN,Blågårdsgade,30,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.556524219690026 55.685108240672136)
parkomat.26,636,1020,Betalingsautomat,0628,Blå,IN,Blågårdsgade,46,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555817716046278 55.68453884984522)
parkomat.27,637,1021,Betalingsautomat,6628,Blå,IN,Smedegade,OF/9,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.5566967056133 55.68429066311128)
parkomat.28,638,1022,P-info,772,Blå,IN,,5,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.556910836438428 55.68362710222548)
parkomat.29,639,1023,P-info,6628,Blå,IN,Smedegade,3,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.557734348532946 55.68374387126576)
parkomat.30,640,1024,P-info,8188,Blå,IN,Wesselsgade,7,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.56035511019172 55.68592928520745)
parkomat.31,641,1025,Betalingsautomat,8188,Blå,IN,Wesselsgade,17,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.559577122137641 55.68525873096927)
parkomat.32,642,1026,Betalingsautomat,7416,Blå,IN,Thorupsgade,8,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.558681228744534 55.68408688022357)
parkomat.33,644,1028,Betalingsautomat,8636,Blå,IN,Åboulevard,5,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.5566789912867 55.68257126466639)
parkomat.34,645,1033,Betalingsautomat,7512,Blå,IN,Todesgade,6,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.557210166161159 55.68734606442146)
parkomat.35,646,1034,P-info,0312,Blå,IN,Baggesensgade,23,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.55822040729364 55.68745279024806)
parkomat.36,647,1035,Betalingsautomat,6596,Blå,IN,Slotsgade,14,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.557022896644854 55.68804252999145)
parkomat.37,648,1036,P-info,6596,Blå,IN,Slotsgade,5,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.557754748731243 55.68842239448621)
parkomat.38,649,1038,Betalingsautomat,3920,Blå,IN,Korsgade,68,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.552981314517135 55.68714589733779)
parkomat.39,650,1039,P-info,2304,Blå,IN,Griffenfeldsgade,34,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.553586720955382 55.687308558089676)
parkomat.40,651,1040,P-info,7496,Blå,IN,Tjørnegade,8,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.553527532264884 55.68846166861299)
parkomat.41,653,1042,P-info,0372,Blå,IN,Bangertsgade,7,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.553924448729985 55.6890217108097)
parkomat.42,654,1043,Betalingsautomat,2304,Blå,IN,Griffenfeldsgade,9,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.554901266249015 55.688606381047954)
parkomat.43,655,1045,P-info,2304,Blå,IN,Griffenfeldsgade,3,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555463237647995 55.689181353137045)
parkomat.44,656,1046,P-info,6696,Blå,IN,Solitudevej,4,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.554607720881714 55.68989370299897)
parkomat.45,657,1047,Betalingsautomat,3564,Blå,IN,Kapelvej,1,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.55420168153197 55.69014892070793)
parkomat.46,658,1048,P-info,3564,Blå,IN,Kapelvej,15,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.553517725206577 55.689546998515056)
parkomat.47,660,1049,Betalingsautomat,5440,Blå,IN,Peblinge Dossering,4,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.561876163012935 55.68683912005368)
parkomat.48,659,1050,Betalingsautomat,0312,Blå,IN,Baggesensgade,7,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.560126922250271 55.68680541921306)
parkomat.49,661,1051,Betalingsautomat,2044,Blå,IN,Fælledvej,10A,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.560103951609515 55.68887085511901)
parkomat.50,662,1052,P-info,2044,Blå,IN,Fælledvej,13,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.559992411695417 55.68926715784225)
parkomat.51,663,1053,Betalingsautomat,2044,Blå,IN,Fælledvej,23,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.560358470600416 55.68992754945484)
parkomat.52,664,1054,P-info,2044,Blå,IN,Fælledvej,16,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.560460921698882 55.6895320376764)
parkomat.53,1946,1056,Betalingsautomat,5188,Blå,IN,Nørre Allé,11,,,2017-12-20T10:04:48.029,2017-12-20T10:05:14.342,POINT (12.560859853881016 55.69196132711283)
parkomat.54,667,1057,,5188,Blå,IN,Nørre Allé,4,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.561200502300606 55.69279918716125)
parkomat.55,668,1059,P-info,5188,Blå,IN,Nørre Allé,21,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.560965227270103 55.69308907038481)
parkomat.56,669,1060,Betalingsautomat,5188,Blå,IN,Nørre Allé,27,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.561060821060094 55.69392903295797)
parkomat.57,670,1061,,5188,Blå,IN,Nørre Allé,,Øvrige,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.56136099252388 55.69385032872132)
parkomat.58,671,1062,Betalingsautomat,5188,Blå,IN,Nørre Allé,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.561483865743432 55.69485711694852)
parkomat.59,672,1063,P-info,5188,Blå,IN,Nørre Allé,41,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.561167228844981 55.694779279973154)
parkomat.60,673,1064,P-info,4892,Blå,IN,Møllegade,34,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.560075665599843 55.69342265309695)
parkomat.61,674,1065,Betalingsautomat,4892,Blå,IN,Møllegade,33,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.558997091211909 55.69289903412953)
parkomat.62,676,1066,Betalingsautomat,5564,Blå,IN,Poppelgade,2,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.559553616726047 55.69198158707231)
parkomat.63,675,1067,P-info,4892,Blå,IN,Møllegade,27,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.558127629887384 55.6923462021398)
parkomat.64,677,1068,Betalingsautomat,2404,Blå,IN,Guldbergsgade,26,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.557428637382055 55.6919490660131)
parkomat.65,678,1069,Betalingsautomat,2404,Blå,IN,Guldbergsgade,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.558483964144168 55.69137453045443)
parkomat.66,679,1070,Betalingsautomat,0508,Blå,IN,Birkegade,10,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.558176640379004 55.69070358804628)
parkomat.67,680,1071,P-info,1448,Blå,IN,Egegade,7,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.558544292160798 55.69060695494183)
parkomat.68,681,1072,Betalingsautomat,1504,Blå,IN,Elmegade,21,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.559358153907356 55.690174843009544)
parkomat.69,682,1073,,1504,Blå,IN,Elmegade,5,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.55795256130439 55.68956735889455)
parkomat.70,686,1077,P-info,6740,Blå,IN,Sortedam Dossering,5C,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.563202663356849 55.687959149910604)
parkomat.71,687,1078,P-info,5748,Blå,IN,Ravnsborg Tværgade,4,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.563250106638527 55.688582585349046)
parkomat.72,688,1079,Betalingsautomat,6740,Blå,IN,Sortedam Dossering,15,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.564237148890255 55.688743767720034)
parkomat.73,689,1080,,6240,Blå,IN,Sankt Hans Gade,5,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.564107252447135 55.689364472953685)
parkomat.74,693,1081,P-info,6040,Blå,IN,Ryesgade,6,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.564242144761984 55.690184195857285)
parkomat.75,690,1082,Betalingsautomat,6312,Blå,IN,Schleppegrellsgade,3,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.564743625992033 55.68974294886455)
parkomat.76,692,1083,Betalingsautomat,6040,Blå,IN,Ryesgade,12,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.56500715058701 55.690705787438326)
parkomat.77,691,1084,P-info,4532,Blå,IN,Læssøesgade,1B,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.56541392152953 55.69022798376575)
parkomat.78,694,1085,,6040,Blå,IN,Ryesgade,20,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.5660921437351 55.6914051585029)
parkomat.79,695,1086,Betalingsautomat,6040,Blå,IN,Ryesgade,22,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.566931172425047 55.69195662018589)
parkomat.80,696,1087,Betalingsautomat,6040,Blå,IN,Ryesgade,31A,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.56772044333382 55.692631341141265)
parkomat.81,697,1088,P-info,4532,Blå,IN,Læssøesgade,17,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.563665399695399 55.69111970364785)
parkomat.82,698,1089,P-info,6240,Blå,IN,Sankt Hans Gade,22,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.562232783071028 55.690354306705046)
parkomat.83,699,1090,Betalingsautomat,5744,Blå,IN,Ravnsborggade,23,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.563268939388356 55.68970931363783)
parkomat.84,700,1091,Betalingsautomat,5744,Blå,IN,Ravnsborggade,17,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.562425169227554 55.68904181181135)
parkomat.85,701,1092,Betalingsautomat,5744,Blå,IN,Ravnsborggade,4,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.561506605999616 55.68803846185171)
parkomat.86,702,1093,Betalingsautomat,2404,Blå,IN,Guldbergsgade,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.5548135890372 55.69395016685604)
parkomat.87,703,1094,Betalingsautomat,2404,Blå,IN,Guldbergsgade,55A,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555115875572879 55.693544552218206)
parkomat.88,704,1095,P-info,2404,Blå,IN,Guldbergsgade,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555165904153268 55.6936520529702)
parkomat.89,705,1096,P-info,2404,Blå,IN,Guldbergsgade,29,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.556487874303143 55.69225439330453)
parkomat.90,706,1097,P-info,4892,Blå,IN,Møllegade,12,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.55661925281603 55.691200980722755)
parkomat.91,707,1098,Betalingsautomat,4892,Blå,IN,Møllegade,9,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555887811942402 55.69086853946739)
parkomat.92,708,1099,Betalingsautomat,5492,Blå,IN,Peter Fabers Gade,7,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555254320405105 55.69103245095011)
parkomat.93,709,1100,P-info,5492,Blå,IN,Peter Fabers Gade,40,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.556551916657133 55.69172325030167)
parkomat.94,710,1101,Betalingsautomat,4688,Blå,IN,Meinungsgade,36,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555077231201444 55.6927115885504)
parkomat.95,711,1102,P-info,4688,Blå,IN,Meinungsgade,26,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.554367897895567 55.69231115085305)
parkomat.96,713,1104,Betalingsautomat,5192,Blå,IN,Nørrebrogade,68,,2000173,2010-03-01T00:00:00,2012-08-01T00:00:00,POINT (12.5541400589037 55.691074127446036)
parkomat.97,715,1106,Betalingsautomat,5406,Blå,IN,,10,,2000173,2010-03-01T00:00:00,2011-04-15T00:00:00,POINT (12.553578027800109 55.69254670186269)
parkomat.98,716,1107,Betalingsautomat,5604,Blå,IN,Prinsesse Charlottes Gade,14,Husmur,2000173,2010-03-01T00:00:00,2011-04-15T00:00:00,POINT (12.55248380249426 55.6933266438848)
parkomat.99,718,1109,Betalingsautomat,2032,Blå,IN,Fyensgade,4,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.55069526621132 55.69431547697084)
parkomat.100,719,1110,,2032,Blå,IN,Fyensgade,10,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.549777318151257 55.693875501118434)
parkomat.101,721,1111,Betalingsautomat,5604,Blå,IN,Prinsesse Charlottes Gade,42,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.550285871385151 55.69475209044479)
parkomat.102,720,1112,P-info,5604,Blå,IN,Prinsesse Charlottes Gade,28,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.551682863949889 55.693859224818546)
parkomat.103,722,1113,P-info,6408,Blå,IN,Sjællandsgade,22,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.555023521223525 55.69437337833178)
parkomat.104,723,1114,Betalingsautomat,7808,Blå,IN,Udbygade,7,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.553081802427794 55.6945323001345)
parkomat.105,724,1115,P-info,7808,Blå,IN,Udbygade,15,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.552646433476749 55.69508521310337)
parkomat.106,725,1116,P-info,6908,Blå,IN,Stevnsgade,6,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.552708798428938 55.69409862383791)
parkomat.107,726,1117,Betalingsautomat,6908,Blå,IN,Stevnsgade,16,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.552012936039729 55.69475690139768)
parkomat.108,727,1118,Betalingsautomat,6908,Blå,IN,Stevnsgade,22,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.551682672763484 55.695402673546475)
parkomat.109,728,1119,Betalingsautomat,2404,Blå,IN,Guldbergsgade,82,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.553425730468637 55.69554622291824)
parkomat.110,729,1120,P-info,2404,Blå,IN,Guldbergsgade,72,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.554021057630138 55.69473497643382)
parkomat.111,927,1121,Betalingsautomat,2128,Blå,IN,Gartnergade,4,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.554270106067898 55.68605096290806)
parkomat.112,930,1124,P-info,2404,Blå,IN,Guldbergsgade,7B,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.559176266760609 55.6910664308322)
parkomat.113,932,1128,Betalingsautomat,8636,Blå,IN,Åboulevard,12,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.556345431464159 55.68331835886635)
parkomat.114,1628,1130,P-info,2604,Blå,IN,Hans Tavsens Gade,3,Husmur,2000173,2011-04-15T00:00:00,2015-12-05T22:34:03.462,POINT (12.551519291645517 55.68711574399938)
parkomat.115,744,1135,,0600,Blå,IN,Blegdamsvej,30,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.564925940697606 55.69282647010127)
parkomat.116,745,1136,P-info,0600,Blå,IN,Blegdamsvej,18,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.563941945607086 55.69228386791877)
parkomat.117,746,1137,Betalingsautomat,0600,Blå,IN,Blegdamsvej,10,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.562874207159908 55.691715508601696)
parkomat.118,747,1138,Betalingsautomat,0600,Blå,IN,Blegdamsvej,6A,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.56176955090722 55.69110804503486)
parkomat.119,748,1139,Betalingsautomat,0600,Blå,IN,Blegdamsvej,1A,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.562469689557792 55.691719725746246)
parkomat.120,749,1140,Betalingsautomat,0600,Blå,IN,Blegdamsvej,3A,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.5636783421739 55.69236526794623)
parkomat.121,750,1141,P-info,0600,Blå,IN,Blegdamsvej,3C,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.564942846695288 55.69304034382868)
parkomat.122,772,1164,P-info,2816,Blå,IN,Henrik Rungs Gade,1,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.546444868489003 55.687281055038675)
parkomat.123,774,1165,Betalingsautomat,2588,Blå,IN,Hans Egedes Gade,21,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.545727270005738 55.68659445520873)
parkomat.124,773,1166,Betalingsautomat,2816,Blå,IN,Henrik Rungs Gade,18,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.546373792697763 55.6861561682)
parkomat.125,775,1167,P-info,5724,Blå,IN,Rantzausgade,45,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.547329506509053 55.68725564760335)
parkomat.126,776,1168,Betalingsautomat,5724,Blå,IN,Rantzausgade,34B,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.549190819502224 55.686759804334855)
parkomat.127,777,1169,P-info,3468,Blå,IN,Jægergade,6,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.549232173500275 55.68611802755448)
parkomat.128,778,1170,P-info,3468,Blå,IN,Jægergade,11,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.549291966787798 55.685729592223744)
parkomat.129,779,1171,Betalingsautomat,8636,Blå,IN,Åboulevard,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.549520514436631 55.68528497067267)
parkomat.130,780,1172,P-info,0864,Blå,IN,Brohusgade,19,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.54745076273583 55.685874721662174)
parkomat.131,781,1173,Betalingsautomat,0864,Blå,IN,Brohusgade,6,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.547410895272227 55.686749444866365)
parkomat.132,782,1174,Betalingsautomat,5724,Blå,IN,Rantzausgade,51,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.54579053344817 55.687809233766174)
parkomat.133,783,1175,P-info,2588,Blå,IN,Hans Egedes Gade,7,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.545021057504998 55.688766109393946)
parkomat.134,786,1177,P-info,4188,Blå,IN,Laurids Skaus Gade,7,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.544409193316218 55.68779133087354)
parkomat.135,788,1179,P-info,2908,Blå,IN,Hiort Lorenzens Gade,4,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.544189091157293 55.687368265492836)
parkomat.136,791,1180,P-info,0064,Blå,IN,Ahlmannsgade,3A,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.543665732761665 55.68726821239714)
parkomat.137,785,1181,Betalingsautomat,2908,Blå,IN,Hiort Lorenzens Gade,10,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.543273499221984 55.68782110967095)
parkomat.138,790,1182,P-info,4012,Blå,IN,Krügersgade,1,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.5427771339543 55.68765028548488)
parkomat.139,792,1184,Betalingsautomat,2588,Blå,IN,Hans Egedes Gade,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.544508903605822 55.68993009650893)
parkomat.140,793,1185,Betalingsautomat,3564,Blå,IN,Kapelvej,42,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.551609962792435 55.68668853968094)
parkomat.141,795,1186,Betalingsautomat,5724,Blå,IN,Rantzausgade,19,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.55092350365728 55.6859835868917)
parkomat.142,794,1187,P-info,3564,Blå,IN,Kapelvej,56,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.550630080948366 55.68558316823905)
parkomat.143,796,1188,P-info,5724,Blå,IN,Rantzausgade,23E,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.5497734692205 55.68639573525471)
parkomat.144,798,1189,P-info,7032,Blå,IN,Struenseegade,18,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.54946885063515 55.687483406621766)
parkomat.145,797,1190,Betalingsautomat,7032,Blå,IN,Struenseegade,,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.550461556687399 55.68710589521594)
parkomat.146,799,1191,Betalingsautomat,7032,Blå,IN,Struenseegade,27,Husmur,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.54827103110667 55.68772188738597)
parkomat.147,800,1192,P-info,7032,Blå,IN,Struenseegade,38,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.547221209901627 55.688275281423756)
parkomat.148,801,1194,Betalingsautomat,7032,Blå,IN,Struenseegade,55,,2000173,2010-03-01T00:00:00,2015-12-05T22:34:03.462,POINT (12.545146431728128 55.68891342479888)
