FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,andre_busser_7_19,wkb_geometry
trafiktaelling.1,1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,4 eller 5A,3,Andre faste tællinger,42650,"3,8",49900,55900,21601,"1,2",22200,26400,,,,,,,,,,,20160921,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/UJpxEGxaCg.pdf,3.79999995,1.20000005,1016,,,,,POINT (12.565491397230991 55.67796084860272)
trafiktaelling.2,3,Bredgade,nord for Kongens Nytorv,3 eller 4,3,Andre faste tællinger,9946,"4,6",11600,13000,6261,"2,4",6400,7600,,,,,,,,,,,20180927,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/txHU3EqDSV.pdf,4.5999999,2.4000001,145,,,,,POINT (12.587600106423727 55.68116360238515)
trafiktaelling.3,4,Christian d. IV's Bro,syd for Niels Juels Gade,ingen,3,Andre faste tællinger,13016,"0,3",15200,17100,4510,"2,6",4600,5500,,,,,,,,,,,20180927,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/cpXRg96fo9.pdf,0.30000001,2.5999999,41,,,,,POINT (12.587161874224892 55.67576459605928)
trafiktaelling.4,5,Dronning Louises Bro,øst for Nørrebrogade,,2,Søsnittet,4274,"14,8",5000,5600,34956,"3,5",36000,42600,,,,,,,,,,,20190912,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Kn2EXKMe2f.pdf,14.80000019,3.5,74,"1,7",487,"1,4",18,POINT (12.563784830098982 55.68673054140091)
trafiktaelling.5,6,Kampmannsgade,ud for søerne,,2,Søsnittet,4691,"3,5",5500,6100,8203,"2,5",8400,10000,,,,,,,,,,,20190904,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/IDf78Si7t8.pdf,3.5,2.5,59,"1,3",77,"0,9",9,POINT (12.557917540101617 55.67797681383055)
trafiktaelling.6,7,Ellebjergvej,øst for Poppelstykket,138,3,Andre faste tællinger,27215,"3,8",31800,35700,3417,"4,2",3500,4200,,,,,,,,,,,20190613,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/QIiYRCTkNQ.pdf,3.79999995,4.19999981,799,"3,8",,,,POINT (12.510990440718215 55.65050283197625)
trafiktaelling.7,8,Englandsvej,nord for Følfodvej,229 eller 230,1,Kommunegrænsen,11517,"2,0",13500,15100,1787,"4,6",1800,2200,,,,,,,,,,,20190507,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/hmqv1DfCNO.pdf,2,4.5999999,163,"1,4",,,27,POINT (12.599845636263538 55.63848509063259)
trafiktaelling.8,9,Farvergade,nordøst for Rådhuspladsen,6 eller 17,3,Andre faste tællinger,531,"2,1",600,700,2724,,2800,3300,,,,,,,,,,,20151001,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/tY91YGf9p1.pdf,2.0999999,,11,,,,,POINT (12.572503733886563 55.6759724596037)
trafiktaelling.9,11,Frederiksborggade,øst for Nørre Voldgade,10,3,Andre faste tællinger,64,,100,100,1260,,1300,1500,35606,41700,43100,,,,,,,41700,20180619,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/gsufDE4hgG.pdf,,,0,,,,,POINT (12.572683528145083 55.683211342280345)
trafiktaelling.10,12,Frederiksborggade,sydøst for Søtorvet,50,3,Andre faste tællinger,3637,"14,0",4300,4800,17219,"3,1",17700,21000,,,,,,,,,,,20190912,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/xpVL5eDw4D.pdf,14,3.0999999,510,"1,9",302,"1,8",13,POINT (12.566369474794929 55.685708418286154)
trafiktaelling.11,13,Frederiksborgvej,syd for Gladsaxevej,221,1,Kommunegrænsen,9282,5,10900,12200,5806,"1,7",6000,7100,,,,,,,,,,,20190515,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/iOWWNXS442.pdf,5,1.70000005,119,"1,3",,,32,POINT (12.525153439020626 55.72710588532442)
trafiktaelling.12,14,Frederikssundsvej,ved fæstningsvolden,356,1,Kommunegrænsen,16120,4,18900,21100,2290,"2,5",2400,2800,,,,,,,,,,,20190509,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/OyX2bXYX7J.pdf,4,2.5,251,4,,,11,POINT (12.467131018190686 55.71336181629868)
trafiktaelling.13,16,Gl. Køge Landevej,syd for Vigerslevvej,220A,1,Kommunegrænsen,12932,"4,5",15100,16900,2744,"2,3",2800,3300,,,,,,,,,,,20190508,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/mTjpjqZXKc.pdf,4.5,2.29999995,261,"4,5",,,30,POINT (12.501067806935957 55.64241479721176)
trafiktaelling.14,17,Gothersgade,sydøst for Søtorvet,160 eller 175,3,Andre faste tællinger,3659,"4,7",4300,4800,12222,"2,6",12600,14900,,,,,,,,,,,20190925,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/y87joygBU8.pdf,4.69999981,2.5999999,53,"4,7",111,"0,9",18,POINT (12.566545050457881 55.68641228608003)
trafiktaelling.15,18,Grøndals Parkvej,nord for Peter Bangs Vej,ingen,3,Andre faste tællinger,13536,"3,2",15800,17700,2174,"2,4",2200,2700,,,,,,,,,,,20190523,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ZG6Asd6CAr.pdf,3.20000005,2.4000001,181,"1,3",,,20,POINT (12.487389543509753 55.677771624338185)
trafiktaelling.16,19,Gyldenløvesgade,ud for Søpavillonen,24,2,Søsnittet,41952,"3,6",49100,55000,25035,"2,3",25800,30500,,,,,,,,,,,20190925,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/kMfyCuTPRt.pdf,3.5999999,2.29999995,685,"1,6",173,"0,7",145,POINT (12.559080062995465 55.681775659145515)
trafiktaelling.17,20,Hareskovvej,nordvest for Mosesvinget (Hillerødmotorvejen),,1,Kommunegrænsen,52047,"1,6",60900,68200,5317,"1,4",5500,6500,,,,,,,,,,,20190515,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/84t0Qk69N3.pdf,1.60000002,1.39999998,561,"1,1",,,177,POINT (12.50390557494531 55.7134171158951)
trafiktaelling.18,21,Hillerødgade,vest for Borups Allé,89 eller 112,3,Andre faste tællinger,14553,"3,3",17000,19100,4409,"2,5",4500,5400,,,,,,,,,,,20170517,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/n2Qff6aoz5.pdf,3.29999995,2.5,331,,,,,POINT (12.524266152957384 55.69677357124775)
trafiktaelling.19,23,Jagtvej,syd for Nørrebrogade,69,3,Andre faste tællinger,14639,"3,3",17100,19200,14817,"2,5",15300,18100,,,,,,,,,,,20190912,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/JkxudEJOwC.pdf,3.29999995,2.5,211,"1,4",102,"0,7",23,POINT (12.548166594681598 55.693760453842565)
trafiktaelling.20,24,Jyllingevej,vest for Tudskærvej,125,1,Kommunegrænsen,29514,"2,5",34500,38700,1547,"2,5",1600,1900,,,,,,,,,,,20190509,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/LQEyMAfxgo.pdf,2.5,2.5,428,"1,5",,,60,POINT (12.468280663263844 55.69149076083171)
trafiktaelling.21,25,Kalvebod Brygge,sydvest for Bernstorffgade,37,2,Søsnittet,30384,"5,3",35500,39800,3326,"2,5",3400,4100,,,,,,,,,,,20190911,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/jWE2SI5l9e.pdf,5.30000019,2.5,1026,"3,4",82,"2,5",480,POINT (12.569969800636589 55.66710839094156)
trafiktaelling.22,26,Knippelsbro,nord for Torvegade,,2,Søsnittet,19598,"6,2",22900,25700,21451,"2,8",22100,26200,,,,,,,,,,,20190918,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/rbHvcjaGoR.pdf,6.19999981,2.79999995,368,"1,9",278,"1,3",,POINT (12.586998878059132 55.67489294070491)
trafiktaelling.23,27,Kristen Bernikows Gade,nordvest for Østergade,2,3,Andre faste tællinger,3979,"5,5",4700,5200,15755,"2,2",16200,19200,,,,,,,,,,,20180927,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/9Zw61sXjXY.pdf,5.5,2.20000005,126,,,,,POINT (12.582295655249021 55.67998567768585)
trafiktaelling.24,29,Langebro,vest for Amager Boulevard,,2,Søsnittet,43251,"4,1",50600,56700,18382,"2,1",18900,22400,,,,,,,,,,,20190917,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/piISSAPoIm.pdf,4.0999999,2.0999999,943,"2,2",199,"1,1",193,POINT (12.578524713360443 55.67042883796164)
trafiktaelling.25,31,Lyngbyvej,Motorvejen,144,1,Kommunegrænsen,69382,"3,3",81200,90900,,,,,,,,,,,,,,,20190515,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/LfeMjUSVSe.pdf,3.29999995,,2070,"3,0",,,185,POINT (12.556679854965624 55.71896950142801)
trafiktaelling.26,32,Nørre Allé,syd for Universitetsparken,ingen,3,Andre faste tællinger,22520,"3,1",26300,29500,9233,"2,2",9500,11300,,,,,,,,,,,20190911,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/A84TtE3NC1.pdf,3.0999999,2.20000005,247,"1,1",97,"1,1",60,POINT (12.56231015080022 55.702095673593895)
trafiktaelling.27,33,Nørregade,sydøst for Nørre Voldgade,40 eller 49,3,Andre faste tællinger,3898,"7,0",4600,5100,9063,"4,1",9300,11100,,,,,,,,,,,20180926,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/RRzQ2JQdrN.pdf,7,4.0999999,106,,,,,POINT (12.570985144966079 55.68203718389299)
trafiktaelling.28,34,Nørre Voldgade,nordøst for Jarmers Plads,6,3,Andre faste tællinger,11472,"12,4",13400,15000,8670,"2,1",8900,10600,,,,,,,,,,,20151001,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/v26l8POkWq.pdf,12.39999962,2.0999999,574,,,,,POINT (12.56673819245438 55.67921630423488)
trafiktaelling.29,36,Roskildevej,ud for Damhussøen,213,1,Kommunegrænsen,31560,3.3,36900,41300,4594,"1,5",4700,5600,,,,,,,,,,,20190508,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Sz6dagBKCy.pdf,3.29999995,1.5,513,"1,6",,,,POINT (12.476224094045241 55.67272468616919)
trafiktaelling.30,37,Sjællandsbroen,øst for Sluseholmen,,3,Andre faste tællinger,40803,"6,5",47700,53500,1906,"3,0",2000,2300,,,,,,,,,,,20190612,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/rJdweqVLSF.pdf,6.5,3,1884,"4,6",,,382,POINT (12.55037701730951 55.64161980604726)
trafiktaelling.31,40,Slotsherrensvej,ved Islev St.,139 eller 140,1,Kommunegrænsen,12166,"2,0",14200,15900,1385,"4,3",1400,1700,,,,,,,,,,,20190509,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/1MTrwxj9Uw.pdf,2,4.30000019,168,"1,4",,,23,POINT (12.46813625451385 55.69993412700755)
trafiktaelling.32,41,St. Kongens Gade,nord for Kongens Nytorv,7 eller 24,3,Andre faste tællinger,10972,"4,3",12800,14400,7939,"2,5",8200,9700,,,,,,,,,,,20180927,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/3QihhObi2k.pdf,4.30000019,2.5,198,,,,,POINT (12.585604179900852 55.68182401685068)
trafiktaelling.33,42,Strandboulevarden,nord for Classensgade,13 eller 32,2,Søsnittet,7154,"3,2",8400,9400,2780,"2,5",2900,3400,,,,,,,,,,,20190905,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/9LC1vLK8cY.pdf,3.20000005,2.5,136,"1,9",37,"1,3",10,POINT (12.59041180278704 55.69918161400109)
trafiktaelling.34,43,Strandvejen,nord for Dessaus Bouilevard,115,1,Kommunegrænsen,14688,"3,7",17200,19200,7675,,7900,9400,,,,,,,,,,,20190514,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/vLGgK2QGeS.pdf,3.70000005,,183,"1,2",,,42,POINT (12.577449894629323 55.72376879642313)
trafiktaelling.35,44,Sølvgade,nordvest for Øster Farimagsgade,87 eller 88,3,Andre faste tællinger,10625,"5,4",12400,13900,6883,"1,8",7100,8400,,,,,,,,,,,20150929,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/VMM9vV0gCE.pdf,5.4000001,1.79999995,111,,,,,POINT (12.573390208881456 55.68982339564058)
trafiktaelling.36,45,Sønderkær,syd for Holbækmotorvejen,,1,Kommunegrænsen,4189,"2,5",4900,5500,1166,,1200,1400,,,,,,,,,,,20190508,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/kQvDw90z98.pdf,2.5,,51,"1,2",,,,POINT (12.486466414448623 55.65226217613392)
trafiktaelling.37,46,Tagensvej,sydøst for Tuborgvej,196 A,3,Andre faste tællinger,15037,"3,5",17600,19700,4679,"1,9",4800,5700,,,,,,,,,,,20190620,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/CkNAATyQDR.pdf,3.5,1.89999998,188,"1,3",,,25,POINT (12.535682770235717 55.71288570702341)
trafiktaelling.38,48,Tuborgvej,nord for Bispebjerg Parkallé,175,3,Andre faste tællinger,24248,"1,6",28400,31800,3701,"2,7",3800,4500,,,,,,,,,,,20190620,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/wO3K94eEiM.pdf,1.60000002,2.70000005,218,"0,9",,,28,POINT (12.541381291042658 55.71948658627079)
trafiktaelling.39,49,Tuborgvej,sydvest for Lundedalsvej,157,1,Kommunegrænsen,25812,"1,8",30200,33800,3483,"1,7",3600,4200,,,,,,,,,,,20190515,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/WINkfASuBA.pdf,1.79999995,1.70000005,249,"1,0",,,29,POINT (12.545781356308602 55.7225462577602)
trafiktaelling.40,52,Vesterbrogade,sydvest for Rådhuspladsen,2B,3,Andre faste tællinger,8807,"21,2",10300,11500,9801,"2,9",10100,12000,,,,,,,,,,,20190620,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/tRBlvskFe2.pdf,21.20000076,2.9000001,225,"2,6",,,289,POINT (12.566772436603433 55.67536449909181)
trafiktaelling.41,53,Vester Farimagsgade,nord for Ved Vesterport,9,3,Andre faste tællinger,10141,"3,7",11900,13300,5750,"3,2",5900,7000,,,,,,,,,,,20190926,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/4qmaVJR4aW.pdf,3.70000005,3.20000005,154,"1,5",,,46,POINT (12.561949332841802 55.67569778126634)
trafiktaelling.42,54,Vigerslev Allé,øst for Toftegårds plads,38,3,Andre faste tællinger,17332,"5,9",20300,22700,6931,"2,9",7100,8500,,,,,,,,,,,20190613,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/rejbY6WgbC.pdf,5.9000001,2.9000001,380,"2,2",,,70,POINT (12.518333385402117 55.661660987474434)
trafiktaelling.43,55,Vigerslev Allé,vest for Vigerslevvej,362A,1,Kommunegrænsen,5477,"7,3",6400,7200,1780,"0,8",1800,2200,,,,,,,,,,,20190508,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/cSm9sejCZX.pdf,7.30000019,0.80000001,78,"1,4",,,13,POINT (12.485722160115412 55.65466783328446)
trafiktaelling.44,56,Vigerslevvej,nord for Langagervej,113,3,Andre faste tællinger,13959,"2,7",16300,18300,2268,"2,8",2300,2800,,,,,,,,,,,20190613,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/b6oGhTQ4rA.pdf,2.70000005,2.79999995,248,"1,8",,,,POINT (12.482843073467711 55.66353306540168)
trafiktaelling.45,57,Østbanegade,nord for Classensgade,55,2,Søsnittet,361,"1,9",400,500,2366,"2,1",2400,2900,,,,,,,,,,,20190905,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/0d3pnhuqqm.pdf,1.89999998,2.0999999,7,"1,9",46,"1,9",,POINT (12.591555819239035 55.69948510717175)
trafiktaelling.46,58,Øster Allé,øst for Nørre Allé,ingen,3,Andre faste tællinger,7727,"1,8",9000,10100,2314,"3,3",2400,2800,,,,,,,,,,,20190911,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/7xAwEyT22q.pdf,1.79999995,3.29999995,101,"1,3",23,"1,0",,POINT (12.56426472096164 55.70566503366393)
trafiktaelling.47,59,Østerbrogade,nord for Classensgade,,2,Søsnittet,16292,"4,1",19100,21300,18062,"3,1",18600,22000,,,,,,,,,,,20190905,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/KhN6lEgY8F.pdf,4.0999999,3.0999999,191,"1,2",217,"1,2",,POINT (12.579590922431816 55.696738954035304)
trafiktaelling.48,60,Øster Søgade,nordøst for Gothersgade,8,3,Andre faste tællinger,20478,"1,6",24000,26800,9448,"2,8",9700,11500,,,,,,,,,,,20180913,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/9HjWlfenx2.pdf,1.60000002,2.79999995,295,,,,,POINT (12.56624810830595 55.68702946472226)
trafiktaelling.49,61,Åboulevard,nordvest for Tømrergade,16,3,Andre faste tællinger,37500,"2,9",43900,49100,10603,"1,4",10900,12900,,,,,,,,,,,20140513,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/CGuPQPAA0U.pdf,2.9000001,1.39999998,656,,,,,POINT (12.555942314686671 55.68340207576481)
trafiktaelling.50,62,Amagerbrogade,syd for Adriansvej,289,1,Kommunegrænsen,8275,"4,9",9700,10800,2767,"3,3",2900,3400,,,,,,,,,,,20190507,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Dm23Oy1hac.pdf,4.9000001,3.29999995,113,"1,4",,,7,POINT (12.616641064774113 55.641582551118255)
trafiktaelling.51,63,Amager Strandvej,syd for Hedegårdsvej,,1,Kommunegrænsen,11959,"8,2",14000,15700,470,"2,6",500,600,,,,,,,,,,,20190507,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/uWPjesEhOG.pdf,8.19999981,2.5999999,875,"7,3",,,95,POINT (12.642569861925963 55.64625528762304)
trafiktaelling.52,64,Amaliegade,nord for Toldbodgade,35 eller 44,3,Andre faste tællinger,6067,"4,5",7100,7900,3177,,3300,3900,,,,,,,,,,,20150609,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/8UHibGRyHs.pdf,4.5,,90,,,,,POINT (12.59553402294219 55.68680821210819)
trafiktaelling.53,65,Dag Hammerskjölds Allé,sydøst for Øster Farimagsgade,33,3,Andre faste tællinger,11630,"5,1",13600,15200,11790,"2,5",12100,14400,,,,,,,,,,,20140902,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/FHSKuHaHfk.pdf,5.0999999,2.5,237,,,,,POINT (12.581091083219517 55.69527947913001)
trafiktaelling.54,67,Enghavevej,nord for P. Knudsensgade,200,3,Andre faste tællinger,18395,"5,9",21500,24100,9297,"3,5",9600,11300,,,,,,,,,,,20190523,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/kLHSPRgwmw.pdf,5.9000001,3.5,523,"2,8",,,143,POINT (12.538699975241007 55.653779785554775)
trafiktaelling.55,68,Folke Bernadottes Alle,syd for Indiakaj,45,3,Andre faste tællinger,18843,"5,7",22000,24700,7636,"2,9",7900,9300,,,,,,,,,,,20180925,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Mb5PdSxt3B.pdf,5.69999981,2.9000001,587,,,,,POINT (12.59369094974512 55.69501819560997)
trafiktaelling.56,69,Fredensbro,sydøst for Fredensgade 1,ingen,2,Søsnittet,29799,"4,1",34900,39000,16008,"2,7",16500,19500,,,,,,,,,,,20190905,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/UdRc1CcwU8.pdf,4.0999999,2.70000005,345,"1,2",152,"0,9",99,POINT (12.56985086796188 55.69174745981588)
trafiktaelling.57,70,Grønnemose Allé,vest for Moseskellet,,1,Kommunegrænsen,2440,"0,7",2900,3200,1556,,1600,1900,,,,,,,,,,,20190515,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/myMm0Nnuiv.pdf,0.69999999,,14,"0,6",,,,POINT (12.521733883992844 55.72256218294855)
trafiktaelling.58,71,Horsebakken,nord for Mosesvinget,88,1,Kommunegrænsen,2834,"2,3",3300,3700,1501,,1500,1800,,,,,,,,,,,20190515,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/hORXD6PWkG.pdf,2.29999995,,48,,,,2,POINT (12.513114079444913 55.71814905021928)
trafiktaelling.841,9906,Tagensvej - Nørre Allé,,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20160831,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/RXCdg4SI8w.pdf,,,,,,,,POINT (12.561488085791346 55.6963538946088)
trafiktaelling.59,72,Ingerslevsgade,sydøst for Tietgensgade,ingen,2,Søsnittet,7768,"8,9",9100,10200,4158,"2,5",4300,5100,,,,,,,,,,,20190904,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/bYQNJeFy1a.pdf,8.89999962,2.5,248,"3,2",121,"2,9",142,POINT (12.565332825581402 55.6699136470963)
trafiktaelling.60,73,Islevhusvej,nordøst for Islevholm,83,1,Kommunegrænsen,8584,"4,5",10000,11200,720,"1,5",700,900,,,,,,,,,,,20190509,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/nxk7AaY2Y4.pdf,4.5,1.5,106,"1,2",,,12,POINT (12.457766659268664 55.70737545125908)
trafiktaelling.61,74,Kastrupvej,syd for Backersvej,,1,Kommunegrænsen,7924,"2,7",9300,10400,1477,"3,6",1500,1800,,,,,,,,,,,20190507,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/LxnzZvEUjt.pdf,2.70000005,3.5999999,91,"1,1",,,5,POINT (12.628381928777406 55.644321528356485)
trafiktaelling.62,75,Kongelundsvej,nord for Floridavej,54A,1,Kommunegrænsen,8539,"3,1",10000,11200,1732,"5,3",1800,2100,,,,,,,,,,,20190507,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/jljqPsDEJX.pdf,3.0999999,5.30000019,128,"1,5",,,18,POINT (12.588758493854064 55.63804014120539)
trafiktaelling.63,76,Kronprinsessegade,nord for Gothersgade,3 eller 6,3,Andre faste tællinger,650,"2,6",800,900,7189,,7400,8800,,,,,,,,,,,20180920,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/qme1OQmU90.pdf,2.5999999,,15,,,,,POINT (12.58108086012055 55.68306269833364)
trafiktaelling.64,78,Mørkhøjvej,nord for Frederikssundsvej,2,1,Kommunegrænsen,7594,"3,5",8900,9900,1906,"1,8",2000,2300,,,,,,,,,,,20190509,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ADZpz7ALTH.pdf,3.5,1.79999995,40,"0,5",,,13,POINT (12.468194045046438 55.71323136395116)
trafiktaelling.65,79,Rygårds Allé,syd for Lundeskovsvej,104,1,Kommunegrænsen,1042,"0,7",1200,1400,760,,800,900,,,,,,,,,,,20190514,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/6OJ91s5o9r.pdf,0.69999999,,7,"0,7",,,,POINT (12.559603740554357 55.722607994675045)
trafiktaelling.66,80,Ryvangs Allé,syd for Callisensvej,76,1,Kommunegrænsen,6119,"0,8",7200,8000,3158,"2,0",3300,3900,,,,,,,,,,,20190514,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/fyq5H2N8Z4.pdf,0.80000001,2,34,"0,6",,,13,POINT (12.568556754187211 55.72939153042308)
trafiktaelling.67,81,Sumatravej,nord for Hedegårdsvej,72,3,Andre faste tællinger,223,"4,0",300,300,255,,300,300,,,,,,,,,,,20170504,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/6GUOwYHKN5.pdf,4,,7,,,,,POINT (12.633782421132697 55.645498354194466)
trafiktaelling.68,82,Svanemøllevej,syd for Callisensvej,77,1,Kommunegrænsen,2041,"1,2",2400,2700,686,,700,800,,,,,,,,,,,20190514,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/4ZiHuQG5H9.pdf,1.20000005,,20,"1,0",,,,POINT (12.57393655179169 55.72906722707083)
trafiktaelling.69,83,Sølvgade,øst for Øster Voldgade,38,3,Andre faste tællinger,10856,"2,8",12700,14200,7999,"3,6",8200,9800,,,,,,,,,,,20140930,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/JBi39VZdkx.pdf,2.79999995,3.5999999,120,,,,,POINT (12.579650508668696 55.68714796433991)
trafiktaelling.70,84,Sølvgade,øst for Stokholmsgade,81 eller 50,3,Andre faste tællinger,15994,"7,0",18700,21000,13218,"2,6",13600,16100,,,,,,,,,,,20150929,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/5hbVrY2pKo.pdf,7,2.5999999,202,,,,,POINT (12.575474654048154 55.688949027631466)
trafiktaelling.71,86,Torvegade,nord for Christmas Møllers Plads,75,3,Andre faste tællinger,17520,"5,5",20500,23000,23641,"2,6",24400,28800,,,,,,,,,,,20191001,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/vT4PvzToCZ.pdf,5.5,2.5999999,401,"2,3",,,114,POINT (12.59523196609638 55.670157664232065)
trafiktaelling.72,87,Universitetsparken,vest for Nørre Allé,2,3,Andre faste tællinger,3971,"2,4",4600,5200,5187,"2,8",5300,6300,,,,,,,,,,,20181024,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ZPN0KH9v2n.pdf,2.4000001,2.79999995,90,,,,,POINT (12.560427598468346 55.70270671465646)
trafiktaelling.73,90,Øster Farimagsgade,nordøst for Gothersgade,2A eller 3,3,Andre faste tællinger,11400,"4,0",13300,14900,10844,"3,3",11200,13200,,,,,,,,,,,20180926,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/M7k0ymp8yL.pdf,4,3.29999995,173,,,,,POINT (12.569644529771258 55.68610702378902)
trafiktaelling.74,91,Øster Voldgade,Syd for Sølvgade,5,3,Andre faste tællinger,9651,"16,2",11300,12600,7236,3,7500,8800,,,,,,,,,,,20160428,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/UVYLWDaGm6.pdf,16.20000076,3,515,,,,,POINT (12.577468746205687 55.68702493169137)
trafiktaelling.75,92,Amager Boulevard,nordvest for Amagerbrogade,130 eller 133,3,Andre faste tællinger,8931,"5,3",10400,11700,6791,"2,8",7000,8300,,,,,,,,,,,20191001,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ZQQh8S9vTq.pdf,5.30000019,2.79999995,122,"1,4",58,"0,9",20,POINT (12.598300096744339 55.6657139417284)
trafiktaelling.76,94,Amagerbrogade,nord for Englandsvej,120,3,Andre faste tællinger,10159,"6,9",11900,13300,11100,"1,5",11400,13500,,,,,,,,,,,20140522,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/EOGxWktcH7.pdf,6.9000001,1.5,157,,,,,POINT (12.607513666470583 55.65841463655803)
trafiktaelling.77,98,Annebergvej,nord for bellahøjvej,4,3,Andre faste tællinger,3200,"12,1",3700,4200,2200,"1,9",2300,2700,,,,,,,,,,,20140917,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/zo11tM7XGb.pdf,12.10000038,1.89999998,,,,,,POINT (12.502642892345266 55.69638366438825)
