name,lat,lng,type
Copenhagen,55.6760968,12.5683371,"['locality', 'political']"
Julsø Byggeri Aps,55.6411586,12.5869308,"['point_of_interest', 'establishment']"
LK Media,55.64315759999999,12.5870632,"['point_of_interest', 'establishment']"
Eat Event Aps,55.641423,12.5849115,"['food', 'point_of_interest', 'establishment']"
Mercedes-Benz Financial Services Denmark A / S,55.641423,12.584912,"['finance', 'point_of_interest', 'establishment']"
Just Mokka,55.641423,12.5849115,"['point_of_interest', 'establishment']"
Intelecom Denmark A / S,55.641423,12.5849115,"['point_of_interest', 'establishment']"
Badmintonklubben Triton Vester Mariendal Skole,55.64251299999999,12.587771,"['point_of_interest', 'establishment']"
V. Guldmann A/S,55.6411189,12.584735,"['point_of_interest', 'establishment']"
Sammenslutningen af Lokalarkiver I København,55.6431256,12.5870521,"['point_of_interest', 'establishment']"
ABJ Malerentreprice,55.64040800000001,12.588004,"['painter', 'point_of_interest', 'establishment']"
Malermester Michael Midtgaard,55.6434928,12.5887512,"['painter', 'point_of_interest', 'establishment']"
Profusion Art Glass,55.64301440000001,12.5894145,"['point_of_interest', 'establishment']"
Dragør Spildevand A/S,55.63986300000001,12.584187,"['point_of_interest', 'establishment']"
HOFOR,55.63986300000001,12.584187,"['point_of_interest', 'establishment']"
Kullerup Kurser Støtteforening,55.6395838,12.5863604,"['point_of_interest', 'establishment']"
Cirkeldans,55.6395838,12.5863604,"['school', 'point_of_interest', 'establishment']"
JAPI Trafikskole - Køreskole centralt på Amager,55.6404316,12.5893067,"['point_of_interest', 'establishment']"
F. F. Gulve v/Frank Egon Falkbøll,55.6397595,12.58781,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
København S,55.6508754,12.5991891,"['sublocality_level_1', 'sublocality', 'political']"
Psychiatric center Amager,55.64326000000001,12.5855184,"['hospital', 'health', 'point_of_interest', 'establishment']"
CWT Danmark A/S,55.6395681,12.5842044,"['travel_agency', 'point_of_interest', 'establishment']"
Ke Holding A/S,55.63986300000001,12.584187,"['point_of_interest', 'establishment']"
Digevej (Vejlands Allé),55.641386,12.5866672,"['transit_station', 'point_of_interest', 'establishment']"
Al Forretning,55.64174059999999,12.5871817,"['point_of_interest', 'establishment']"
Digevej (Vejlands Allé),55.6414959,12.5868998,"['transit_station', 'point_of_interest', 'establishment']"
Digevej (Vejlands Allé),55.6412753,12.5864504,"['transit_station', 'point_of_interest', 'establishment']"
Copenhagen Ebike Center ApS,55.641423,12.5849115,"['point_of_interest', 'establishment']"
Restaurant Frihavn,55.6414902,12.58477,"['point_of_interest', 'establishment']"
Barona,55.6414902,12.58477,"['point_of_interest', 'establishment']"
Business Center Ørestad,55.6414902,12.58477,"['point_of_interest', 'establishment']"
Forenom Aps,55.6414902,12.58477,"['point_of_interest', 'establishment']"
Emirates Holidays,55.6414902,12.58477,"['travel_agency', 'point_of_interest', 'establishment']"
AKT II,55.6414902,12.58477,"['point_of_interest', 'establishment']"
Fleetboard,55.6414902,12.58477,"['car_dealer', 'point_of_interest', 'store', 'establishment']"
Forenom Office,55.6414902,12.58477,"['point_of_interest', 'establishment']"
Hedegaard & Engel v/Jesper Hedegaard Engel,55.6414902,12.58477,"['point_of_interest', 'establishment']"
Energy optimization Copenhagen,55.64120330000001,12.5869043,"['general_contractor', 'point_of_interest', 'establishment']"
Havil Business House v/K. Majeed,55.6410659,12.5863404,"['point_of_interest', 'establishment']"
Årets Store Ramadanmiddag,55.6410659,12.5863404,"['point_of_interest', 'establishment']"
Ubc af 7/10 1994 ApS,55.6431256,12.5870521,"['point_of_interest', 'establishment']"
2game-Cb-Uno Plast,55.6431256,12.5870521,"['point_of_interest', 'establishment']"
Lægerne kirkegårdsvej,55.64326000000001,12.5855184,"['point_of_interest', 'establishment']"
Udskrevet,55.64326000000001,12.5855184,"['point_of_interest', 'establishment']"
Region Hovedstaden,55.64326000000001,12.5855184,"['local_government_office', 'point_of_interest', 'establishment']"
Jespers Torvekøkken ApS,55.64326000000001,12.5855184,"['food', 'point_of_interest', 'establishment']"
Fond Til Lægevidenskabeligt Arbejde På Amager Hospitals Psykiatrisk Afdeling,55.64326000000001,12.5855184,"['point_of_interest', 'establishment']"
Psykiatrisk Center Amager Eurest Services,55.64326000000001,12.5855184,"['hospital', 'health', 'point_of_interest', 'establishment']"
Grundejerforeningen Lindegaarden,55.6409526,12.5878572,"['point_of_interest', 'establishment']"
HOFOR fjernkølecentral,55.6405882,12.5852955,"['point_of_interest', 'establishment']"
Grundejerforeningen Vestervang,55.6431884,12.5876524,"['point_of_interest', 'establishment']"
Lyon Autodele ApS,55.64303409999999,12.5882045,"['point_of_interest', 'establishment']"
VLH.,55.64033440000001,12.5856643,"['point_of_interest', 'establishment']"
Kjøbenhavns Understøttelsesforening,55.643592,12.587056,"['point_of_interest', 'establishment']"
Sauntes Venneforening,55.643592,12.587056,"['point_of_interest', 'establishment']"
Stjernen B&B,55.64321400000001,12.5883217,"['lodging', 'point_of_interest', 'establishment']"
Sitenhance v/Casper Steinhauer,55.6432386,12.5883264,"['point_of_interest', 'establishment']"
Jørgensen Christian Eggert,55.643596,12.587517,"['church', 'place_of_worship', 'point_of_interest', 'establishment']"
Foreningen Kulturhavn,55.643596,12.587517,"['point_of_interest', 'establishment']"
Amager Division Det Danske Spejderkorps,55.643596,12.587517,"['point_of_interest', 'establishment']"
Københavns SkadedyrsService,55.6383079,12.5899432,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
Cool Accounts ApS,55.63942280000001,12.5886757,"['accounting', 'finance', 'point_of_interest', 'establishment']"
Netto,55.6391667,12.5891667,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
Ejerforeningen Sundby Overdrev,55.63881910000001,12.5868553,"['point_of_interest', 'establishment']"
Arkitekternes Pensionskasse,55.6383691,12.5890804,"['point_of_interest', 'establishment']"
Beboerforeningen Tuelandsvænge,55.6383691,12.5890804,"['point_of_interest', 'establishment']"
Garderforeningen I København,55.63881910000001,12.5868553,"['point_of_interest', 'establishment']"
Mads Vestergaard,55.638341,12.589802,"['point_of_interest', 'establishment']"
Bomuldsdyret,55.638324,12.590087,"['point_of_interest', 'establishment']"
Forward,55.63847089999999,12.5855362,"['health', 'point_of_interest', 'establishment']"
Danske Harmonikaspilleres Landsforbund,55.64172310000001,12.5926011,"['point_of_interest', 'establishment']"
Quick Money Transfer & Travel v/ Mohammed Asif,55.639025,12.59101,"['finance', 'point_of_interest', 'establishment']"
Gårdfæstevej (Kongelundsvej),55.6403,12.5890559,"['transit_station', 'point_of_interest', 'establishment']"
Charlottes Køreskole v/Charlotte Knoblauch,55.6404127,12.5893645,"['point_of_interest', 'establishment']"
Gårdfæstevej (Kongelundsvej),55.6401207,12.5890315,"['transit_station', 'point_of_interest', 'establishment']"
Designkat,55.63994870000001,12.5892596,"['point_of_interest', 'establishment']"
Top Style,55.6399431,12.5892745,"['hair_care', 'point_of_interest', 'establishment']"
Parkering Hofor,55.6400915,12.5887582,"['parking', 'point_of_interest', 'establishment']"
Kiosk 36,55.63993629999999,12.5887508,"['point_of_interest', 'store', 'establishment']"
Ruprecht / Susan,55.64024810000001,12.5892695,"['point_of_interest', 'establishment']"
Moo Moo Ice Cream Bar Kongelundsvej,55.64023819999999,12.5893908,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']"
Kongelundsparken I ApS,55.6396846,12.5887137,"['point_of_interest', 'establishment']"
Skandinavisk Parfume Export ApS,55.6404047,12.5885766,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
Gårdfæstevej (Kongelundsvej),55.640479,12.5890802,"['transit_station', 'point_of_interest', 'establishment']"
Sørensen Ulrik (Automekaniker),55.64046070000001,12.5893696,"['point_of_interest', 'establishment']"
Havana Catering,55.63954949999999,12.5886859,"['point_of_interest', 'establishment']"
Clean Diamond,55.63954949999999,12.5886859,"['laundry', 'point_of_interest', 'establishment']"
Trafz v/Joen Jacob Á Bö Olsen,55.64061779999999,12.5888133,"['point_of_interest', 'establishment']"
Adem Vinduespolering og Trappevask v/Adem Akar,55.64061779999999,12.5888133,"['point_of_interest', 'establishment']"
Corsel Holding ApS,55.640213,12.590053,"['finance', 'point_of_interest', 'establishment']"
FEGU,55.63942280000001,12.5886757,"['point_of_interest', 'establishment']"
Numero Regnskab,55.63942280000001,12.5886757,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
Steiner Plan v/Lajos Csaba Steiner,55.63942279999999,12.5886758,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']"
Balogh Communications,55.63942279999999,12.5886758,"['point_of_interest', 'establishment']"
