name,lat,lng,type
Marie Winther Design,55.65826,12.620909,"['point_of_interest', 'establishment']"
Tobias Petersen,55.65830199999999,12.620722,"['point_of_interest', 'establishment']"
Torben Scharling,55.6581218,12.6203818,"['point_of_interest', 'establishment']"
Airto,55.658109,12.627543,"['point_of_interest', 'establishment']"
Fritidshjemmet,55.6591002,12.621607,"['point_of_interest', 'establishment']"
Børnehuset Marengsen,55.6591002,12.621607,"['school', 'point_of_interest', 'establishment']"
Grundejerforeningen Rugbakken,55.65673460000001,12.6285299,"['point_of_interest', 'establishment']"
Kiilerich Public Relations v/H C Kiilerich-Hansen,55.659479,12.6222619,"['point_of_interest', 'establishment']"
Sundkirkens Menighedsbørnehave,55.6587034,12.6228454,"['school', 'point_of_interest', 'establishment']"
Joni Consult ApS,55.6566454,12.6286708,"['point_of_interest', 'establishment']"
Billeschou Christiansen Holding ApS,55.656746,12.624061,"['point_of_interest', 'establishment']"
Jan Larsen Biz,55.6573999,12.6237965,"['point_of_interest', 'establishment']"
Rebekkah Leve,55.6564204,12.624174,"['point_of_interest', 'establishment']"
Resting Christiansen Thomas,55.6565671,12.6247016,"['general_contractor', 'point_of_interest', 'establishment']"
Christian Svare Geisnæs,55.657616,12.623537,"['point_of_interest', 'establishment']"
Grundejerforeningen Freja,55.657064,12.622739,"['point_of_interest', 'establishment']"
Haulrig Design v/Lene Lorentzen,55.657064,12.622739,"['point_of_interest', 'establishment']"
Otte Holding ApS,55.657064,12.622739,"['point_of_interest', 'establishment']"
Engenium ApS,55.657064,12.622739,"['point_of_interest', 'establishment']"
Hammer / Bo,55.6564,12.623298,"['point_of_interest', 'establishment']"
Abccn Holding ApS,55.6564,12.623298,"['point_of_interest', 'establishment']"
Dds 6.-7. Sundby,55.656498,12.622734,"['point_of_interest', 'establishment']"
E/F Søparken,55.6576321,12.625143,"['park', 'point_of_interest', 'establishment']"
Jeghuskerpillen.DK v/Simon Schytte-Hansen,55.6569506,12.6222929,"['point_of_interest', 'establishment']"
Fimi v/Tommy Carlheim Dörge,55.65662,12.6255921,"['point_of_interest', 'establishment']"
RNFoto,55.6571507,12.6257827,"['point_of_interest', 'establishment']"
Ringbæk / Charlotte,55.657982,12.624542,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']"
Haps og Gnask 2 Holding ApS,55.657982,12.624542,"['point_of_interest', 'establishment']"
FeetBack Fysioterapi og træning,55.657982,12.6245421,"['physiotherapist', 'gym', 'health', 'point_of_interest', 'establishment']"
From Aps,55.656093,12.623047,"['point_of_interest', 'establishment']"
Daniela Rose,55.656093,12.623047,"['point_of_interest', 'establishment']"
Margrethe & Georg Bidstrups Rejse-og Studielegat,55.658071,12.623977,"['point_of_interest', 'establishment']"
Benjamin Petersen,55.658071,12.623977,"['point_of_interest', 'establishment']"
Vibe Film Holding ApS,55.657741,12.62541,"['point_of_interest', 'establishment']"
Lejerbo København Afdeling 050-0 Fortvænget,55.6558365,12.629766,"['point_of_interest', 'establishment']"
Aida Plastikkirurgi,55.656187,12.62595,"['point_of_interest', 'establishment']"
Crinnovator,55.65540799999999,12.626148,"['point_of_interest', 'establishment']"
Rantzau Claus,55.65540799999999,12.626148,"['point_of_interest', 'establishment']"
Dittes Butik ApS,55.65643000000001,12.626545,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
Finn Rutzou Consulting ApS,55.655459,12.626535,"['finance', 'point_of_interest', 'establishment']"
Rützou Finn (Revisor),55.65540449999999,12.62657,"['point_of_interest', 'establishment']"
Mægler M.P.Allerup og Hustru Littef.Brosbølls Mindelegat,55.65485299999999,12.625461,"['point_of_interest', 'establishment']"
Frøknerne Isaacsens Legat,55.65485299999999,12.625461,"['point_of_interest', 'establishment']"
Digital Media Ventures,55.654945,12.625978,"['point_of_interest', 'establishment']"
Jensen Mikael,55.654945,12.625978,"['point_of_interest', 'establishment']"
Boutique Van Deurs,55.6621901,12.6030948,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
Føtex,55.6626947,12.6053436,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
Kosmetolog Britt Ahrensberg,55.663922,12.6012329,"['beauty_salon', 'health', 'point_of_interest', 'establishment']"
Elgiganten,55.6631244,12.6047394,"['electronics_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
Stardust,55.6631244,12.6047394,"['point_of_interest', 'establishment']"
Amager 10 - 10. klasse på Amager (Ungdomsskole),55.6651998,12.6038686,"['school', 'point_of_interest', 'establishment']"
E/F Ved Linden 8-10,55.6637837,12.600787,"['point_of_interest', 'establishment']"
NEYE Amager Centret,55.66436599999999,12.603335,"['point_of_interest', 'store', 'establishment']"
Forvandlingskuglen,55.6640464,12.6020325,"['point_of_interest', 'store', 'establishment']"
Frelsens Hær Genbrugsshop,55.6642628,12.6027485,"['store', 'point_of_interest', 'establishment']"
Smørhullet Amager,55.6643068,12.6020401,"['restaurant', 'food', 'point_of_interest', 'establishment']"
CARE Danmark,55.665359,12.6038665,"['point_of_interest', 'establishment']"
Amager East Local Committee,55.6651998,12.6038686,"['point_of_interest', 'establishment']"
"Beth Rytter, Psykolog praksis",55.6651998,12.6038686,"['health', 'point_of_interest', 'establishment']"
Blomsterhuset,55.66451679999999,12.603028,"['florist', 'point_of_interest', 'store', 'establishment']"
Thiele Briller & Kontaktlinser,55.662745,12.6038487,"['health', 'point_of_interest', 'store', 'establishment']"
Andelsboligforening Ålandsgade 12,55.66398539999999,12.6047255,"['local_government_office', 'point_of_interest', 'establishment']"
City Signs,55.66439,12.603802,"['point_of_interest', 'store', 'establishment']"
Moda Women,55.6626104,12.6040737,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
SPUA,55.66511999999999,12.604172,"['point_of_interest', 'establishment']"
Psykolog Henrik Bilstrup Nielsen,55.6631244,12.6047394,"['health', 'point_of_interest', 'establishment']"
Matas,55.66347999999999,12.601539,"['drugstore', 'food', 'health', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
Klinik For Fodterapi v/Pernille Dardecker,55.6645098,12.6040691,"['point_of_interest', 'establishment']"
Helle Fals,55.6626104,12.6040737,"['doctor', 'health', 'point_of_interest', 'establishment']"
Brdr Simonsen,55.6631081,12.6047435,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
Hjemme i 4'ren,55.6629306,12.6026602,"['point_of_interest', 'establishment']"
C-Service v/Leif Hellberg,55.66397670000001,12.6021446,"['point_of_interest', 'establishment']"
Amager Center Flower,55.662959,12.6048545,"['florist', 'point_of_interest', 'store', 'establishment']"
Femilet,55.6635114,12.6042188,"['point_of_interest', 'clothing_store', 'store', 'establishment']"
Nykredit Amager,55.6639373,12.6006337,"['bank', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']"
