,lat,lng
0,12.569,55.708
1,12.568,55.708
4,12.568,55.709
7,12.569,55.682
8,12.568,55.682
9,12.57,55.683
13,12.59,55.703
16,12.601,55.669
18,12.602,55.669
19,12.603,55.668
21,12.604,55.668
22,12.581,55.699
25,12.611,55.667
26,12.612,55.667
27,12.499,55.688
30,12.498,55.688
34,12.497,55.688
36,12.496,55.688
40,12.495,55.688
46,12.494,55.688
51,12.493,55.688
55,12.57,55.684
57,12.577,55.678
63,12.577,55.677
64,12.57,55.693
65,12.571,55.693
67,12.572,55.694
68,12.573,55.695
69,12.563,55.687
70,12.564,55.688
72,12.565,55.689
74,12.607,55.661
76,12.608,55.661
82,12.609,55.66
89,12.61,55.66
95,12.492,55.69
98,12.491,55.69
101,12.49,55.69
103,12.489,55.689
108,12.498,55.689
111,12.498,55.69
113,12.555,55.668
114,12.555,55.667
116,12.556,55.667
119,12.556,55.666
120,12.557,55.666
122,12.555,55.69
125,12.554,55.69
126,12.576,55.665
128,12.576,55.664
129,12.577,55.664
132,12.577,55.663
134,12.488,55.688
137,12.487,55.69
145,12.487,55.691
146,12.486,55.691
148,12.486,55.692
150,12.576,55.666
157,12.487,55.689
160,12.486,55.69
169,12.485,55.691
171,12.485,55.692
173,12.579,55.691
176,12.578,55.691
178,12.577,55.692
181,12.579,55.679
182,12.579,55.678
186,12.578,55.678
189,12.495,55.689
192,12.494,55.689
193,12.494,55.69
195,12.493,55.69
214,12.492,55.691
236,12.491,55.692
243,12.571,55.684
250,12.572,55.685
253,12.603,55.665
256,12.603,55.664
260,12.603,55.669
264,12.589,55.699
267,12.589,55.7
268,12.588,55.7
269,12.544,55.671
270,12.544,55.67
272,12.545,55.67
275,12.573,55.664
276,12.575,55.663
278,12.576,55.663
280,12.61,55.665
281,12.611,55.665
282,12.551,55.687
284,12.55,55.687
286,12.549,55.687
287,12.549,55.688
288,12.547,55.688
290,12.546,55.689
291,12.545,55.689
294,12.601,55.697
296,12.591,55.697
299,12.591,55.698
302,12.591,55.699
304,12.582,55.678
307,12.613,55.667
308,12.614,55.668
309,12.615,55.668
310,12.617,55.669
311,12.618,55.669
315,12.59,55.699
317,12.59,55.7
322,12.589,55.701
327,12.588,55.702
329,12.588,55.703
332,12.614,55.667
333,12.582,55.679
335,12.581,55.679
339,12.616,55.668
344,12.617,55.668
346,12.618,55.668
347,12.619,55.669
349,12.614,55.669
350,12.612,55.669
351,12.586,55.707
354,12.585,55.708
356,12.585,55.709
361,12.584,55.709
362,12.583,55.709
364,12.582,55.709
366,12.581,55.709
370,12.58,55.709
372,12.56,55.67
373,12.56,55.671
378,12.62,55.668
379,12.598,55.667
382,12.599,55.667
386,12.6,55.667
390,12.601,55.667
391,12.601,55.668
392,12.602,55.668
397,12.553,55.694
403,12.552,55.694
407,12.552,55.695
419,12.552,55.696
424,12.552,55.697
425,12.616,55.667
432,12.543,55.665
434,12.544,55.665
435,12.544,55.664
437,12.589,55.68
438,12.589,55.681
440,12.59,55.681
446,12.59,55.682
448,12.591,55.682
449,12.605,55.668
450,12.605,55.669
451,12.606,55.669
452,12.607,55.669
454,12.608,55.669
456,12.609,55.669
458,12.61,55.669
460,12.611,55.67
461,12.611,55.669
463,12.613,55.669
467,12.588,55.704
