name,lat,lng,type
Copenhagen,55.6760968,12.5683371,"['locality', 'political']"
Else Præstegaard,55.663254,12.629006,"['lawyer', 'point_of_interest', 'establishment']"
Bogpris.Nu,55.661203,12.626287,"['book_store', 'point_of_interest', 'store', 'establishment']"
Psykolog Lene Haulund,55.6598693,12.6271887,"['health', 'point_of_interest', 'establishment']"
Amager - A17,55.661854,12.62649,"['point_of_interest', 'establishment']"
Espander Psykologi,55.662337,12.629017,"['health', 'point_of_interest', 'establishment']"
Psychologist Melinda Marton,55.66072639999999,12.6299093,"['health', 'point_of_interest', 'establishment']"
Photographer Jeanne Kornum,55.6613149,12.62444,"['point_of_interest', 'establishment']"
Blist Holding ApS,55.660638,12.627475,"['point_of_interest', 'store', 'establishment']"
Bim Design ApS,55.660898,12.627802,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
Imagix Luftfoto,55.661203,12.626287,"['point_of_interest', 'establishment']"
Copenhagens Lars,55.660933,12.628123,"['point_of_interest', 'establishment']"
Combado,55.66119,12.625825,"['point_of_interest', 'establishment']"
Hindkær v/Thomas Hindkær,55.660934,12.62841,"['point_of_interest', 'establishment']"
Køreskolen Jeanett Kammersgaard,55.6606319,12.6286836,"['point_of_interest', 'establishment']"
Anna Burchardt,55.6599757,12.6275773,"['point_of_interest', 'establishment']"
Skorstensfejervæsenet 10.Distrikt,55.661252,12.629505,"['point_of_interest', 'establishment']"
Badminton Club 1937,55.662298,12.624498,"['point_of_interest', 'establishment']"
tekst og tale aps,55.659124,12.62759,"['point_of_interest', 'establishment']"
København S,55.6508754,12.5991891,"['sublocality_level_1', 'sublocality', 'political']"
Rest-Room City Norling,55.661423,12.6245543,"['health', 'point_of_interest', 'establishment']"
Sundpark-Børnehave & Vuggestue,55.6620837,12.6252018,"['school', 'point_of_interest', 'establishment']"
Cannibal Records,55.66180600000001,12.629347,"['electronics_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
Moviedising,55.6618059,12.6293474,"['point_of_interest', 'establishment']"
Rothschilds,55.6618059,12.6293474,"['point_of_interest', 'establishment']"
RETREAT,55.6618114,12.6293668,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Regnskabshuzet/V Karina Nielsen,55.66067700000001,12.629801,"['point_of_interest', 'establishment']"
Sound Defined,55.662337,12.629017,"['point_of_interest', 'establishment']"
DesignLine Nordic,55.659802,12.624742,"['point_of_interest', 'establishment']"
Espander Psykologi,55.6606785,12.6299113,"['health', 'point_of_interest', 'establishment']"
Cafe Emmanuel,55.660467,12.6241376,"['cafe', 'food', 'point_of_interest', 'establishment']"
Anne Kragelund,55.662337,12.629017,"['point_of_interest', 'establishment']"
PLAKORT,55.66101499999999,12.623836,"['point_of_interest', 'establishment']"
Grace CPh Aps,55.66224709999999,12.6296311,"['point_of_interest', 'establishment']"
Psykolog John Valliant Lauritzen c/o Psykologpraksis Dorthe Löyche,55.6608002,12.6307083,"['health', 'point_of_interest', 'establishment']"
Printcard ApS,55.66083859999999,12.630738,"['point_of_interest', 'establishment']"
The Commedia School v/Ole Brekke,55.6625336,12.6244673,"['school', 'point_of_interest', 'establishment']"
Mindfulness Kursus,55.66317799999999,12.628236,"['point_of_interest', 'establishment']"
