name,lat,lng,type
Copenhagen,55.6760968,12.5683371,"['locality', 'political']"
Scandic Palace Hotel,55.6763127,12.5702264,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Copenhagen Downtown Hostel,55.6759836,12.5743854,"['lodging', 'point_of_interest', 'establishment']"
h27 (Formerly First Hotel Twentyseven),55.6753024,12.5727121,"['lodging', 'bar', 'point_of_interest', 'establishment']"
Ny Carlsberg Glyptotek,55.67298,12.572543,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']"
Hotel Danmark - By Brøchner Hotels,55.674828,12.5727279,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
National Museum of Denmark,55.6746479,12.574741,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']"
Tivoli Gardens,55.6736841,12.5681471,"['tourist_attraction', 'amusement_park', 'park', 'point_of_interest', 'establishment']"
Museum of Copenhagen,55.6743505,12.5724863,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']"
Gloria Biograf,55.67609280000001,12.5705656,"['movie_theater', 'point_of_interest', 'establishment']"
Løngangsstræde 21D,55.67574320000001,12.5737952,"['lodging', 'point_of_interest', 'establishment']"
Grand Teatret,55.6764917,12.5710786,"['movie_theater', 'point_of_interest', 'establishment']"
Club Mambo,55.6750278,12.5722614,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
City Hall Square,55.67591419999999,12.5691284,"['tourist_attraction', 'point_of_interest', 'establishment']"
Hans Christian Andersen Experience,55.6763138,12.5699918,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']"
Foreningen Socialt Boligbyggeri Afd Rosengade 2,55.67606609999999,12.5706207,"['point_of_interest', 'establishment']"
Tivolis Koncertsal,55.67282509999999,12.5685371,"['point_of_interest', 'establishment']"
H.C. Andersen Castle,55.67493309999999,12.5689195,"['point_of_interest', 'establishment']"
I. W. HVIDBERG,55.6755588,12.5732301,"['home_goods_store', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
Indre By,55.6800939,12.5800086,"['sublocality_level_2', 'sublocality', 'political']"
Rio Bravo,55.6741753,12.5729818,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Tjenestemændenes Låneforening,55.672105,12.57444,"['finance', 'point_of_interest', 'establishment']"
Lærernes a-kasse,55.6764234,12.5732446,"['point_of_interest', 'establishment']"
