,lat,lng
364,12.5823,55.7092
366,12.5814,55.7092
368,12.5813,55.7092
369,12.5806,55.7092
370,12.5803,55.7092
371,12.5797,55.7092
372,12.5602,55.6705
373,12.5596,55.6711
375,12.619,55.6686
378,12.6196,55.6679
379,12.5982,55.6669
380,12.5983,55.6669
382,12.5988,55.6671
383,12.5989,55.6671
385,12.599,55.6671
386,12.6002,55.6674
387,12.6003,55.6674
389,12.6004,55.6674
390,12.6006,55.6675
391,12.6011,55.6676
392,12.6016,55.6678
393,12.6027,55.6682
394,12.6028,55.6683
395,12.6029,55.6683
397,12.553,55.6938
399,12.5529,55.6939
400,12.5527,55.694
401,12.5526,55.6941
402,12.5525,55.6942
403,12.5524,55.6943
404,12.5523,55.6944
405,12.5522,55.6945
406,12.5521,55.6945
407,12.5521,55.6946
408,12.552,55.6947
411,12.5518,55.695
413,12.5518,55.6951
414,12.5517,55.6952
416,12.5517,55.6953
417,12.5516,55.6954
419,12.5516,55.6956
420,12.5516,55.6957
421,12.552,55.6961
422,12.552,55.6962
423,12.552,55.6964
424,12.5516,55.6966
425,12.6164,55.6672
427,12.6161,55.6676
428,12.616,55.6678
429,12.6159,55.6678
430,12.6159,55.6679
432,12.5434,55.6649
434,12.5436,55.6647
435,12.5438,55.6645
436,12.5439,55.6642
437,12.5892,55.6804
438,12.5892,55.6805
440,12.5896,55.6808
441,12.59,55.6812
443,12.5902,55.6814
444,12.5903,55.6815
446,12.5904,55.6816
448,12.5905,55.6817
449,12.6046,55.6684
450,12.6053,55.6687
451,12.6059,55.6689
452,12.6066,55.6691
453,12.6073,55.6692
454,12.6079,55.6693
456,12.6086,55.6694
457,12.6093,55.6695
458,12.6097,55.6695
459,12.6102,55.6695
460,12.6106,55.6696
461,12.6112,55.6695
463,12.6126,55.6694
464,12.6173,55.669
465,12.6181,55.6689
466,12.5879,55.7035
467,12.5877,55.7039
470,12.5875,55.7042
471,12.5875,55.7043
472,12.5874,55.7043
473,12.5873,55.7044
474,12.5871,55.7048
475,12.5868,55.7054
477,12.5863,55.7065
478,12.5582,55.6836
479,12.5575,55.6839
480,12.5574,55.6839
481,12.5574,55.684
482,12.5573,55.684
483,12.5572,55.684
485,12.556,55.6845
486,12.5571,55.688
488,12.5581,55.6888
489,12.5803,55.6914
490,12.5802,55.6914
491,12.5785,55.6921
492,12.5784,55.6921
493,12.499,55.6868
494,12.4988,55.687
495,12.4987,55.6871
496,12.4986,55.6872
497,12.4985,55.6873
498,12.4981,55.6876
499,12.4978,55.6879
503,12.4975,55.6881
505,12.4963,55.6891
508,12.5844,55.7066
509,12.5844,55.7067
510,12.5843,55.707
511,12.5843,55.7071
512,12.5844,55.7071
513,12.5845,55.7079
515,12.5852,55.7051
516,12.5853,55.7048
517,12.4837,55.6891
518,12.4836,55.6892
520,12.4833,55.6897
522,12.4833,55.6898
523,12.4832,55.6898
525,12.4832,55.6899
527,12.483,55.6902
528,12.4829,55.6903
529,12.4825,55.691
530,12.4823,55.6913
531,12.5723,55.6767
534,12.5721,55.6766
535,12.5719,55.6765
537,12.5715,55.6763
539,12.5713,55.6762
540,12.5712,55.6761
541,12.571,55.676
542,12.5488,55.6649
543,12.5495,55.6642
545,12.4901,55.6896
547,12.4898,55.6901
548,12.4895,55.6905
549,12.4894,55.6906
552,12.4894,55.6907
554,12.4893,55.6907
555,12.4893,55.6908
556,12.4891,55.691
557,12.4885,55.6919
559,12.4885,55.692
561,12.6067,55.6589
563,12.6064,55.6587
564,12.6062,55.6586
565,12.606,55.6585
567,12.585,55.6788
568,12.585,55.6787
570,12.5851,55.6784
571,12.585,55.6782
572,12.5845,55.6781
573,12.5844,55.678
575,12.5839,55.6779
577,12.5837,55.6779
579,12.5836,55.6778
580,12.5831,55.6777
583,12.583,55.6777
586,12.5827,55.6776
587,12.5826,55.6775
588,12.5824,55.6775
591,12.5853,55.7037
593,12.5852,55.7041
595,12.585,55.7046
597,12.585,55.7049
598,12.5849,55.7049
599,12.5849,55.7052
601,12.5848,55.7053
602,12.5848,55.7055
603,12.5847,55.7057
605,12.5847,55.7058
609,12.5845,55.7065
610,12.5673,55.6853
613,12.5674,55.6854
