name,lat,lng,type
Copenhagen,55.6760968,12.5683371,"['locality', 'political']"
Hellerup Skole,55.7236614,12.580976,"['primary_school', 'school', 'point_of_interest', 'establishment']"
E-reiss ApS.,55.720758,12.581246,"['point_of_interest', 'establishment']"
Reiss Holding ApS,55.72069119999999,12.5811769,"['point_of_interest', 'establishment']"
Intellishore,55.7214231,12.5803142,"['point_of_interest', 'establishment']"
Lundbeckfond Invest A/S,55.72190399999999,12.57987,"['finance', 'point_of_interest', 'establishment']"
Lundbeckfonden,55.721904,12.5798701,"['point_of_interest', 'establishment']"
Lene Berg,55.720265,12.579035,"['art_gallery', 'point_of_interest', 'establishment']"
Buch Mai (Adm.Direktør),55.719463,12.580968,"['point_of_interest', 'establishment']"
Ejendommen Eltham,55.7223505,12.5788168,"['point_of_interest', 'establishment']"
Qualitree v/Thomas Elver Hintze,55.72098399999999,12.578129,"['point_of_interest', 'establishment']"
Wiborg Partnere ApS,55.721948,12.578058,"['real_estate_agency', 'point_of_interest', 'establishment']"
Tandlæge Helene Fiig,55.721383,12.577682,"['dentist', 'health', 'point_of_interest', 'establishment']"
Get Juicy,55.72189909999999,12.5776998,"['point_of_interest', 'establishment']"
Ejerlauget vedrørende rækkehusbebyggelsen ved Solvænget,55.719528,12.578712,"['point_of_interest', 'establishment']"
Svanemøllen Beach Park,55.7195484,12.5830343,"['point_of_interest', 'establishment']"
A/B Eltham,55.72233649999999,12.5786343,"['point_of_interest', 'establishment']"
Fotograf Anne Prytz Schaldemose,55.7191011,12.5812725,"['point_of_interest', 'establishment']"
The dentists in Østerbro,55.7213756,12.5775708,"['dentist', 'doctor', 'health', 'point_of_interest', 'establishment']"
København Ø,55.7096303,12.5768655,"['sublocality_level_1', 'sublocality', 'political']"
Solutionweb ApS,55.71945600000002,12.578737,"['point_of_interest', 'establishment']"
Dawson Aps,55.71945600000002,12.578737,"['point_of_interest', 'establishment']"
Østergaard Morten,55.719401,12.578764,"['point_of_interest', 'establishment']"
Fitness World,55.7219647,12.5777708,"['gym', 'health', 'point_of_interest', 'establishment']"
COZY BY NATURE,55.722941,12.5795817,"['point_of_interest', 'establishment']"
Crescendo Hrm ApS,55.719275,12.578785,"['point_of_interest', 'establishment']"
